File Number,Pool,Date,Days,BBLS Oil,Runs,BBLS Water,MCF Prod,MCF Sold,Vent/Flare
4119,RED RIVER,4-1987,0,0,312,0,0,0,0
4119,RED RIVER,3-1987,0,0,0,0,0,0,0
4119,RED RIVER,2-1987,0,0,0,0,0,0,0
4119,RED RIVER,1-1987,0,0,0,0,0,0,0
4119,RED RIVER,12-1986,0,0,0,0,0,0,0
4119,RED RIVER,11-1986,0,0,0,0,0,0,0
4119,RED RIVER,10-1986,0,0,0,213,0,0,0
4119,RED RIVER,9-1986,1,4,0,213,0,0,0
4119,RED RIVER,8-1986,2,5,0,384,194,0,0
4119,RED RIVER,7-1986,2,10,0,702,1,0,0
4119,RED RIVER,6-1986,20,323,828,2318,194,0,0
4119,RED RIVER,5-1986,11,271,0,1539,107,0,0
4119,RED RIVER,4-1986,12,249,0,937,117,0,0
4119,RED RIVER,3-1986,29,632,790,3484,361,0,0
4119,RED RIVER,2-1986,15,411,645,1574,187,0,0
4119,RED RIVER,1-1986,25,316,0,973,311,0,0
4119,RED RIVER,12-1985,30,441,1179,3137,374,0,0
4119,RED RIVER,11-1985,24,506,0,3247,299,0,0
4119,RED RIVER,10-1985,31,714,795,4801,381,0,0
4119,RED RIVER,9-1985,22,476,739,2199,214,0,0
4119,RED RIVER,8-1985,20,524,0,2703,194,0,0
4119,RED RIVER,7-1985,28,738,823,4157,272,0,0
4119,RED RIVER,6-1985,27,766,771,4184,263,0,0
4119,RED RIVER,5-1985,26,648,805,3557,253,0,0
4119,RED RIVER,4-1985,30,813,828,4028,292,0,0
4119,RED RIVER,3-1985,22,591,762,3121,274,0,0
4119,RED RIVER,2-1985,26,728,817,3624,324,0,0
4119,RED RIVER,1-1985,30,846,861,4042,374,0,0
4119,RED RIVER,12-1984,31,798,785,4337,386,0,0
4119,RED RIVER,11-1984,30,759,824,4102,374,0,0
4119,RED RIVER,10-1984,29,766,0,4200,361,0,0
4119,RED RIVER,9-1984,4,103,0,439,39,0,0
4119,RED RIVER,8-1984,9,192,767,1148,78,0,0
4119,RED RIVER,7-1984,27,692,870,3478,263,0,0
4119,RED RIVER,6-1984,30,807,842,3466,292,0,0
4119,RED RIVER,5-1984,23,590,0,3344,224,0,0
4119,RED RIVER,4-1984,25,667,871,3184,311,0,0
4119,RED RIVER,3-1984,26,616,832,2522,324,0,0
4119,RED RIVER,2-1984,24,602,871,2821,299,0,0
4119,RED RIVER,1-1984,29,861,852,3352,316,0,0
4119,RED RIVER,12-1983,19,456,0,2441,237,0,0
4119,RED RIVER,11-1983,30,840,865,4175,374,0,0
4119,RED RIVER,10-1983,22,623,768,3083,214,0,0
4119,RED RIVER,9-1983,29,862,846,4274,282,0,0
4119,RED RIVER,8-1983,30,846,1716,3829,302,0,0
4119,RED RIVER,7-1983,31,871,0,4047,302,0,0
4119,RED RIVER,6-1983,30,785,853,3088,253,0,0
4119,RED RIVER,5-1983,20,645,859,2537,195,0,0
4119,RED RIVER,4-1983,30,768,844,3444,292,0,0
4119,RED RIVER,3-1983,25,709,0,148,380,0,0
4119,RED RIVER,2-1983,23,675,869,164,349,0,0
4119,RED RIVER,1-1983,30,869,800,2700,471,0,424
4119,RED RIVER,12-1982,26,766,775,2225,395,0,0
4119,RED RIVER,11-1982,25,685,824,1511,380,0,0
4119,RED RIVER,10-1982,27,813,1399,3545,263,0,0
4119,RED RIVER,9-1982,30,842,832,1690,292,0,0
4119,RED RIVER,8-1982,31,903,0,1690,302,0,0
4119,RED RIVER,7-1982,23,671,842,763,224,0,0
4119,RED RIVER,6-1982,10,359,842,1480,97,0,0
4119,RED RIVER,5-1982,23,650,872,2833,224,0,0
4119,RED RIVER,4-1982,20,598,0,1518,195,0,0
4119,RED RIVER,3-1982,17,878,1645,173,470,0,0
4119,RED RIVER,2-1982,24,766,829,168,364,0,0
4119,RED RIVER,1-1982,20,564,0,1239,304,0,0
4119,RED RIVER,12-1981,17,258,839,186,258,0,0
4119,RED RIVER,11-1981,30,963,844,2446,455,0,0
4119,RED RIVER,10-1981,27,833,0,2030,263,0,0
4119,RED RIVER,9-1981,28,844,1671,168,292,0,292
4119,RED RIVER,8-1981,29,871,0,1284,282,0,0
4119,RED RIVER,7-1981,29,842,1565,2372,282,0,0
4119,RED RIVER,6-1981,30,853,873,1983,292,0,0
4119,RED RIVER,5-1981,30,922,872,2455,292,0,0
4119,RED RIVER,4-1981,26,890,0,2824,253,0,0
4119,RED RIVER,3-1981,22,619,1625,3384,211,0,0
4119,RED RIVER,2-1981,13,426,0,2000,126,0,0
4119,RED RIVER,1-1981,20,555,751,2450,194,0,0
4119,RED RIVER,12-1980,23,804,0,2500,224,0,0
4119,RED RIVER,11-1980,24,229,1363,2200,0,0,0
4119,RED RIVER,10-1980,31,903,0,2525,302,0,0
