NDIC File No,API No,Well Type,Well Status,Status Date,Wellbore type,Location,Footages,Latitude,Longitude,Current Operator,Current Well Name,Total Depth,Field,Pool,Perfs,Comp,Status,Date,Spacing,Cum Oil,Cum MCF Gas,Cum Water,IP Oil,IP MCF,IP Water,FileNumber,UIC No,Cum Salt Water Disposed,CTB No
4119,33-087-00008-00-00,OG,PA,4/24/1987,Vertical,NESW 8-136-101,1850 FSL 1845 FWL,46.603709,-103.398428,HUNT OIL COMPANY,U.S.A. 8 1,11506,ELEVEN BAR,RED RIVER,11246-11254,9/22/1966,PNA,9/22/1966,SEC,265781,157675,743617,195,0,80,4119,,,
4485,33-087-00027-00-00,SWD,DRY,4/29/1987,Vertical,NESW 9-136-101,2261 FSL 2176 FWL,46.604801,-103.375685,HUNT OIL COMPANY,"NPRR ""A"" SWD 1",5480,ELEVEN BAR,DAKOTA,5384-5424,9/29/1968,DNA,4/29/1987,,,,,,,,4485,W0003S0051C,547331,
12459,33-033-00186-00-00,OG,DRY,8/8/1988,Vertical,SESE 5-137-103,688 FSL 518 FEL,46.703986,-103.695071,HUNT OIL COMPANY,HIGGINS 1-5,8950,WILDCAT,MADISON,,8/8/1988,DRY,8/8/1988,,,,,,,,12459,,,
12424,33-033-00184-00-00,OG,DRY,6/26/1988,Vertical,NWNW 33-138-104,660 FNL 660 FWL,46.729126,-103.816063,HUNT OIL COMPANY,SCHMELING 1-33,8900,WILDCAT,MADISON,,6/26/1988,DRY,6/26/1988,,,,,,,,12424,,,
8304,33-007-00658-00-00,OG,DRY,1/28/1981,Vertical,NWSE 26-139-102,1800 FSL 2300 FEL,46.822318,-103.513398,HUNT OIL COMPANY,STATE OF NORTH DAKOTA 26-1,9200,MEDORA,MADISON,,1/28/1981,DRY,1/28/1981,,,,,,,,8304,,,
12445,33-033-00185-00-00,OG,DRY,7/18/1988,Vertical,NESW 1-139-104,1980 FSL 1980 FWL,46.880764,-103.747473,HUNT OIL COMPANY,PULLIN 1-1,9300,WILDCAT,MADISON,,7/18/1988,DRY,7/18/1988,,,,,,,,12445,,,
12485,33-033-00187-00-00,OG,DRY,8/31/1988,Vertical,SESE 17-139-104,660 FSL 660 FEL,46.848516,-103.821207,HUNT OIL COMPANY,NORDIN 1-17,9180,WILDCAT,MADISON,,8/31/1988,DRY,8/31/1988,,,,,,,,12485,,,
9148,33-033-00120-00-00,OG,DRY,12/17/1981,Vertical,NENE 16-139-105,700 FNL 700 FEL,46.859307,-103.926484,HUNT OIL COMPANY,KIPPLEY-STATE 1-16,12118,WILDCAT,DEADWOOD,,12/17/1981,DRY,12/17/1981,,,,,,,,9148,,,
9168,33-033-00122-00-00,OG,PNC,3/16/1983,Vertical,NESE 16-139-105,1980 FSL 660 FEL,46.852125,-103.926324,HUNT OIL COMPANY,STATE 2-16,,WILDCAT,WINNIPEG,,,PNC,3/16/1983,,,,,,,,9168,,,
151,33-015-00003-00-00,OG,DRY,11/16/1952,Vertical,SWSW 18-140-80,660 FSL 660 FWL,46.941453,-100.828993,HUNT OIL COMPANY,EMMA KLEVEN 1,8115,WILDCAT,PRECAMBRIAN,,11/16/1952,DRY,11/16/1952,,,,,,,,151,,,
13103,33-025-00466-00-00,OG,PA,3/23/1996,Horizontal Re-Entry,NWSW 17-141-95,2500 FSL 1000 FWL,47.031234,-102.753383,HUNT OIL COMPANY,S. E. RUSSIAN CREEK 13-17,13085,SIMON BUTTE,SILURIAN,"11519-13085<span title=""Gross Interval"">G",3/9/1991,PNA,3/9/1991,ICO,425125,103465,1068919,570,300,30,13103,,,
12972,33-025-00460-00-00,OG,PA,5/25/1994,Vertical,SENE 18-141-95,1920 FNL 690 FEL,47.033616,-102.760138,HUNT OIL COMPANY,S. E. RUSSIAN CREEK 42-18,11750,SIMON BUTTE,SILURIAN,11541-11550,10/8/1990,PNA,10/8/1990,E2,81896,14377,709239,262,25,1072,12972,,,
2745,33-007-00041-00-00,OG,DRY,10/11/1960,Vertical,NESW 15-144-99,1980 FSL 1980 FWL,47.289524,-103.214833,HUNT OIL COMPANY,WILLIAM PALANUK 1,10109,BLACKTAIL,MADISON,,10/11/1960,DRY,10/11/1960,,,,,,,,2745,,,
